frame,class,left,top,width,height,center_left,center_top,score
1,person,809,687,28,46,823,709,1.00
1,person,1262,187,17,32,1270,203,1.00
1,car,1144,556,108,132,1187,657,1.00
1,person,1191,408,25,39,1202,427,1.00
1,bicycle,1112,436,54,54,1139,461,0.99
2,person,810,688,27,45,823,710,1.00
2,person,1263,186,16,33,1270,203,1.00
2,car,1142,555,111,128,1200,624,1.00
2,person,1191,406,26,41,1202,427,1.00
2,bicycle,1110,434,54,52,1137,459,0.99
3,person,809,687,29,46,823,710,1.00
3,person,1262,185,17,33,1270,202,1.00
3,car,1139,555,113,129,1199,624,1.00
3,person,1191,407,27,39,1203,427,1.00
3,bicycle,1104,430,56,51,1133,455,1.00
3,person,1124,432,31,38,1140,451,0.85
4,person,809,687,29,46,823,710,1.00
4,car,1139,555,115,130,1200,625,1.00
4,person,1262,185,18,34,1271,203,1.00
4,person,1190,409,27,38,1202,427,1.00
4,bicycle,1096,429,61,49,1129,455,1.00
5,person,810,687,28,46,824,710,1.00
5,car,1140,554,114,129,1199,623,1.00
5,person,1190,409,27,38,1202,427,1.00
5,bicycle,1092,427,62,52,1125,452,1.00
5,person,1263,184,17,35,1271,202,1.00
6,person,810,687,28,46,824,710,1.00
6,bicycle,1093,424,57,52,1124,451,1.00
6,car,1141,555,110,130,1199,625,1.00
6,person,1191,409,27,38,1203,427,1.00
6,person,1263,184,17,35,1271,202,1.00
7,person,809,687,29,46,824,710,1.00
7,person,1264,185,16,32,1272,200,1.00
7,car,1142,555,112,129,1199,625,1.00
7,person,1192,408,28,38,1205,426,1.00
7,bicycle,1089,416,56,54,1117,443,0.99
8,person,809,687,29,46,824,710,1.00
8,person,1264,184,16,31,1272,199,1.00
8,car,1142,557,111,127,1200,627,1.00
8,person,1192,409,28,38,1205,427,1.00
8,bicycle,1085,411,56,54,1114,439,0.99
9,person,809,687,29,46,824,710,1.00
9,person,1264,182,16,33,1272,198,1.00
9,car,1142,555,112,130,1199,626,1.00
9,person,1192,408,27,39,1204,427,1.00
9,bicycle,1083,406,54,57,1112,435,0.99
10,person,809,687,29,46,823,710,1.00
10,person,1264,182,16,32,1272,197,1.00
10,car,1142,555,112,130,1199,626,1.00
10,person,1192,409,27,38,1204,427,0.99
10,bicycle,1078,403,55,56,1110,433,0.99
11,person,809,687,29,46,824,710,1.00
11,person,1265,181,15,33,1272,196,1.00
11,car,1142,557,111,128,1199,626,1.00
11,person,1191,407,27,40,1203,426,0.99
11,bicycle,1070,398,59,57,1106,427,0.99
12,person,809,687,29,46,824,710,1.00
12,person,1265,181,15,32,1272,196,1.00
12,car,1142,556,110,129,1199,626,1.00
12,bicycle,1070,395,58,55,1104,422,1.00
12,person,1191,407,27,39,1204,426,0.99
13,person,809,688,29,45,824,710,1.00
13,person,1265,181,15,32,1272,196,1.00
13,car,1142,555,110,130,1199,625,1.00
13,bicycle,1068,393,57,57,1099,420,1.00
13,person,1191,407,27,40,1203,426,0.99
14,person,809,687,28,46,823,710,1.00
14,person,1265,181,15,32,1272,196,1.00
14,car,1142,556,111,130,1200,626,1.00
14,bicycle,1064,390,57,57,1094,419,1.00
14,person,1190,408,28,38,1204,426,1.00
15,person,809,687,28,46,823,709,1.00
15,person,1265,180,15,32,1272,196,1.00
15,car,1142,556,111,130,1199,626,1.00
15,bicycle,1062,386,56,56,1092,415,1.00
15,person,1190,408,28,39,1203,427,1.00
16,person,809,687,29,46,823,709,1.00
16,person,1265,180,15,32,1272,196,1.00
16,bicycle,1060,385,55,56,1087,414,1.00
16,car,1142,556,110,130,1199,625,1.00
16,person,1190,408,27,39,1203,426,1.00
17,person,809,687,29,46,824,709,1.00
17,person,1266,180,14,31,1273,195,1.00
17,car,1141,556,110,129,1199,626,1.00
17,bicycle,1058,379,54,63,1084,412,1.00
17,person,1190,407,28,40,1203,426,0.99
18,person,809,687,29,46,823,709,1.00
18,person,1266,180,14,31,1273,195,1.00
18,car,1143,556,109,129,1200,626,1.00
18,bicycle,1053,374,56,60,1082,405,1.00
18,person,1190,407,28,40,1203,426,0.99
19,person,810,687,28,46,824,709,1.00
